TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
S1IB     	   Stg 261     Internationale Bachakademie Stuttgart                                     zdb            274
HDBSRW   	   He 203      Deutsches Rechtswörterbuch                                                aktiv          275
SBHOSA   	   Hom 1       Stadtarchiv Homburg/Saar                                                  zdb            276
S1EOER   	   Rt 6        Bibliothek der Evangelischen Kirche in Reutlingen                         aktiv          277
HDBSXK   	   He 74       MPI für Kernphysik, Heidelberg                                            aktiv          279



MARM     	   Mh 28      Reiss-Engelhorn-Museen                                                              aktiv          280
HDBSOB   	   754        Stadtbücherei Heidelberg                                                            zdb            281
S1EOKS   	   Stg 274    Seminar für Seelsorgefortbildung Stuttgart                                          aktiv          282
SBWNSK   	   883        Stadt- und Kreisbibliothek Sankt Wendel                                             zdb            283
TUBLKA   	   Bal 1      Kreisarchiv Zollernalbkreis Balingen                                                aktiv          284
KNBEEA   	   Beu 1      Erzabtei Beuron                                                                     passiv         285
HDBSXA   	   He 81      MPI für Astronomie, Heidelberg                                                      zdb            286
LDSA     	   Lan 2      Stadtarchiv Landau                                                                  zdb            287
ULLHSA   	   Lap 1      Stadtarchiv Laupheim                                                                zdb            288
MALN01   	   295        Stadtbibliothek Ludwigshafen                                                        zdb            290
S2GPSA   	   Göp 3      Stadtarchiv Göppingen                                                               zdb            291
FROGLS   	   Lah 1      Stadtarchiv Lahr                                                                    zdb            292
KNRZSA   	   Rz 2       Stadtarchiv Radolfzell                                                              zdb            293
KABBBU   	   Bue 1      Stadtgeschichtliches Institut                                                       zdb            295
ULHESA   	   Hed 1      Stadtarchiv Heidenheim                                                              zdb            296
KAETSA   	   Ett 1      Stadtarchiv Ettlingen                                                               zdb            298
DDGRBW   	   Gl 2       Oberlausitzische Bibliothek der Wissenschaften                                      aktiv          299
TUROSA   	   Rot 3      Stadtarchiv Rottenburg                                                              zdb            300
FR145    	   Frei 145   Staatsarchiv Freiburg                                                               aktiv          301
KNSISB   	   1076       Stadtbücherei Singen                                                                aktiv          302
ULBIKA   	   1135       Kreiskultur- und Archivamt Biberach                                                 aktiv          305
HPBEKI   	   Be 1       Bensheim, Bibliothek des Konfessionskundlichen Instituts des Evangelischen Bundes   aktiv          306
DDBZSB   	   129        Stadtbibliothek Bautzen                                                             aktiv          307
C1LM     	   Ch 104     Sächsische Landesstelle für Museumswesen, Chemnitz                                  aktiv          308
S1GL     	   Stg 282    Kommission für geschichtliche Landeskunde in Baden-Württemberg Stuttgart            aktiv          309
S1WG     	   Stg 281    Württembergischer Geschichts- und Altertumsverein Stuttgart                         aktiv          310
TUSIFH   	   156        Fürstlich Hohenzollernsche Hofbibliothek Sigmaringen                                zdb            311
TUAULZ   	   21/38      Leibniz Kolleg Tübingen                                                             zdb            312
HDHNBS   	   585        German Graduate School of Management & Law gGmbH Heilbronn                          aktiv          313
S1EL     	   Stg 278    Stuttgart, Eberhard-Ludwigs-Gymnasium                                               zdb            314
L1LK     	   185        Leibniz Institut für Länderkunde - Geographische Zentralbibliothek Leipzig          aktiv          315
KAPFSB   	   267        Stadtbibliothek Pforzheim                                                           zdb            316
